user_id;beta0;beta1;beta2
u:-k;9.876030514619272;-0.025105500456792964;-0.11999053984816951
u:6_4;12.925323173111009;-0.045707506763752785;-0.0489802526601568
u:AvA;11.7091052144032;-0.09983779926143777;-0.11795220272076334
u:CXf;12.825943727179185;-0.03326033224918263;0.09096820251675533
u:ROd;11.704235998143709;-0.0672755157193716;0.08598573795715636
u:RQ5;10.296878665681824;-0.30439051025392594;-0.0470245703040873
u:RhQ;11.125843102728519;-0.11850678062628348;-0.13757922477344306
u:WiH;12.266915015855666;-0.06752272339470697;-0.11871301751318403
u:YVz;10.345508024338145;-0.0694160055867279;-0.005261832846157332
u:Zl3;11.228699728057144;-0.01738182632097592;-0.2865910717729494
u:ZqG;11.180593164383911;-0.1490077854862609;0.2147421477577261
u:b4Ms;10.920686180759725;-0.17688150960823898;-0.2983042506580219
u:b5GM;8.63345642202791;-0.04871176123011483;-0.03756973760782099
u:bUnR;12.566101190465327;-0.11368718737449315;0.06042783369876102
u:bcH_;0.6744616669975615;0.05053398910219098;-0.6154503473100614
u:bdp;13.297568127314582;-0.1540928409544242;-0.10438599258702648
u:brPy;12.095421131162741;-0.18157274664425269;-0.011448110548990057
u:c4cX;12.593097467665373;-0.03620840511766404;-0.14292187379137422
u:cDcZ;11.371107038562652;-0.22085351508690942;-0.08704577284623856
u:cM60;13.311289387383011;-0.04368482534997152;0.025094655122661447
u:cM8j;12.425092851359945;-0.04604336879066415;0.12648356376224465
u:cQNw;8.74801945672206;-0.05296192852235304;-0.3454344204166947
u:cT1S;5.876801743069687;-0.17229107713649655;-0.3321842238418735
u:cU83;11.739195464343322;-0.04192701804710365;-0.09638545573111303
u:cUy5;13.138128561719;-0.07366952828953849;-0.08551319928215098
u:cXjM;12.370266743572802;-0.16847907661553047;0.1264212286003337
u:caBz;12.136365338091768;-0.1080357429790537;0.15017167641867468
u:cen-;10.9629024324279;-0.050747739874126695;-0.26395346813060333
u:ciQq;10.95976527435741;0.03742986485672407;0.027689530339365973
u:cii8;12.595967650981196;-0.04010820367656149;-0.00858378574264952
u:clI5;10.777997370118408;0.005283042163577891;-0.1909323972160137
u:cpBu;11.239005736383739;-0.13780015163876969;0.12087369110326526
u:cuee;12.829603416552875;-0.05738704470644526;-0.040198669234520354
u:d17D;11.223578223158027;-0.11729988063144062;-0.0024479427740969396
u:d6xM;11.325960801883886;-0.028890275735252362;-0.15651320273065503
u:dA-5;11.509011764061261;-0.06002236588028827;0.10304192426431313
u:dA-Z;12.464240810949644;-0.1557171767733735;-0.40848896568668724
u:dDHm;11.241478131162555;-0.06297769882677229;0.05741332235701599
u:dFUv;12.408021738808538;-0.028193453516244915;0.0026768023937060116
u:dJDT;12.553248707733978;-0.09795882621231573;0.05982270149660296
u:dM-7;11.156631114439854;-0.06916061452788126;-0.23216482535377622
u:dN2i;12.597923381786199;-0.06704360865258892;0.01610869734953347
u:dOhF;11.66915323001246;-0.1274418679311454;0.08766679062633242
u:dPkG;12.492246378330798;-0.11436498560250045;-0.3487780082256178
u:dTHC;12.121176802223413;-0.10154185880202689;-0.055151452733407366
u:d_OI;10.999239368122472;-0.06885475660895499;-0.060234800588953724
u:dbcs;12.450681755093967;-0.06287052201913564;0.012580185933592553
u:dfY9;12.012818510825602;-0.03661178291970042;-0.18925859049308238
u:dk2Z;9.02411760408173;-0.06392268456562038;-0.5222516646434892
u:dl5J;13.176038932494688;-0.06211353951796854;-0.06447931884794714
u:dlC1;12.626978631614461;-0.07568988181348467;0.0074167150258463025
u:doQ7;11.89580564588588;-0.00043087529168819687;-0.03519938428461957
u:dpTf;12.499513089041267;-0.16756606037357907;-0.6233349092554562
u:dqmm;11.918573206396207;-0.11834392935420568;0.1323751373641013
u:drl_;12.602468087273671;-0.16728884259438448;-0.20168823999222807
u:duAw;11.413934724414336;-0.03343954135813754;0.09875837386583533
u:duKB;11.937546393589672;-0.05924047093861626;0.12161130198315032
u:dvsN;12.462622610724939;-0.04963734586401693;-0.3034483907058485
u:dw6w;9.558443079125729;-0.09147156978509284;-0.030495933610054343
u:dy_A;12.687176282660067;-0.14724152230362716;-0.20959808083501175
u:dz5I;12.564633704031593;-0.15010293636118466;-0.29483934395377204
u:dzpv;12.539830328636683;-0.08755696334626678;0.15052957995027866
u:e480;12.640777997797786;-0.12797272264728327;0.08335956231417653
u:e4Dx;12.361307162892183;-0.20836903972492848;0.08886127811291131
u:e5ci;12.487636651551478;-0.09814490373273232;0.009360847359275908
u:e6cr;12.100764192357667;-0.09426579780941802;-0.44171122564944365
u:e7Se;12.411184700075033;-0.12941200197235084;0.013033263558889575
u:eAQD;11.795842771008266;-0.049131986158980935;0.02668710473254767
u:eB5B;11.618417845971688;-0.17540912808521755;-0.1148535280166921
u:eCv;11.678376714007205;-0.06349489077687738;-0.15159962666499896
u:eJ6l;11.930221394416245;-0.056312983293065264;0.031066855112820403
u:eJ9C;11.967200368806209;-0.03906023183205875;-0.24371417500432058
u:eMgB;13.354324939128581;-0.07564859241542264;-0.08110326778449135
u:eOil;7.245228422717701;-0.19463229640834004;0.9064183628380553
u:ePf8;7.513928231038591;-0.1759265140702058;-0.3410857682206723
u:eRXS;11.39019750696147;-0.028890393012191894;-0.03466767831691625
u:eS3F;10.869527117084148;-0.09140006014015467;-0.2567092595569055
u:eSSb;12.280617799111514;-0.12407049458491606;0.03162707746772574
u:eSc1;10.974778752145248;-0.07302027809845169;0.03138412891942942
u:eZSZ;12.502938765900767;-0.15378192695961487;-0.028448533399330556
u:eZXP;12.610610159018341;-0.2618789558785703;0.0053252029714370205
u:ebMz;11.008365671379748;-0.12473192526456513;-0.2515738285846517
u:egUl;12.84085585853872;-0.08678918079732277;0.1130752979882696
u:ekaI;13.200542553860053;-0.052994198887761364;0.040363524646145066
u:emc4;12.518555932069857;-0.0852202011447675;-0.09430742701895581
u:eqTV;12.14904442374971;-0.10387644494651563;-0.25013027361246615
u:eroC;11.281290211997215;-0.060120509708078994;-0.009987248592578598
u:ezFh;10.1478096451021;-0.0826866999576579;0.10690558930685622
u:f09U;12.6930297634727;-0.036343458335443654;-0.05944224398104309
u:f3MB;10.768628706287867;-0.2585924815357066;-0.16833271880806183
u:f5cu;11.362549144109531;-0.06267248936677713;-0.10566137486318221
u:f9K2;7.513484409154572;-0.1584113209388773;0.0436419670458557
u:f9KA;11.478702586738363;-0.08253069894264954;0.1799080485358407
u:f9WD;12.842400940275615;-0.0640327104035412;0.020377751897770097
u:fAQE;13.44300044480884;-0.08238138350654003;0.03741242901399856
u:fATL;12.531160589629877;-0.05962356249228852;0.013981243545196698
u:fB8Q;12.332227121390728;-0.056367031751098744;-0.21714849811375772
u:fCXF;10.9306075431404;-0.0301224877876921;-0.0972718628810009
u:fE1u;9.637048116157448;-0.19600063632802228;-0.032394413007550055
u:fE8t;12.047522375329757;-0.03107738677741677;-0.3262213489840998
u:fG-d;11.814894854401954;-0.12032818629645772;0.06950148779489171
u:fHbR;10.641235869013103;-0.120638434905138;0.04204028487190021
u:fHe7;13.448335655535233;-0.08674090497021421;-0.010617555584077504
u:fJnK;13.4728441176419;-0.1478619420687151;-0.15479122115567714
u:fKd7;11.228906834621704;-0.1565409755976452;-0.4239127997192103
u:fM7I;13.184495805572979;-0.10308359703248943;0.08604305260011431
u:fRcL;12.791725596388316;-0.06384051103328311;-0.023559356093042272
u:fRr2;13.062067701608129;-0.032397614976250926;0.045144242612746896
u:fT0x;12.853446299425542;-0.1002312334411921;0.06520229082815915
u:fTCP;12.810379454133999;-0.05257061743435338;-0.10800637113761227
u:fTgU;12.415447175191584;-0.02483655432956599;-0.0401001986477651
u:fUCa;12.212709260672073;-0.25446461257061587;-0.06435002874418558
u:fXV_;11.788541006622651;-0.09394302624284091;-0.19552157851264193
u:fZvT;9.39515588356752;-0.15092224130716567;-0.2012205371391284
u:f_ZH;11.72850599799659;-0.07719430192021223;-0.05716342489771462
u:faRp;10.458030205326837;-0.10038249469152048;-0.09001558327624418
u:fcY1;12.417722723256418;-0.024413531828097225;-0.07594468739006918
u:fehg;13.21855991739026;-0.04385007067058142;-0.004659790115878805
u:fiuW;11.973527167467646;-0.050781264712642014;0.08724498255774948
u:flac;6.473166306372668;-0.09628532072009409;-0.45866407743511184
u:fnFo;12.58524151842363;-0.08489042096429636;0.21235076831046842
u:fouL;10.12457120102522;-0.07475618554526395;0.16429661660695838
u:fqVJ;13.39769585675017;-0.05935192748899417;0.06704781134344501
u:fqW5;9.394155264979778;-0.14891068950663522;-0.12522459273831552
u:fqgf;12.109986405010487;-0.0690478443945302;-0.3593394442206124
u:ftEc;11.897987031713788;-0.00800906620171172;-0.027661732842254615
u:ftRi;13.008815707429331;-0.09575399163460159;0.22120877179061474
u:fuCC;12.728273811065055;-0.05552559113497194;0.040810904266844916
u:fvKX;13.324893729348316;-0.1092890550565847;-0.0416294467622732
u:fxh5;12.79105036931576;-0.14326806277481596;-0.00928567651424928
u:g-Fa;12.638729333224694;-0.08818837555083614;-0.041920137383376146
u:g0Cr;12.787424433110788;-0.07699548408048291;0.07985994152714299
u:g1Sg;12.275784321017216;-0.02998202024337108;0.00855791904421408
u:g1Y4;12.124511073552513;-0.10830735871047474;-0.13917581384988983
u:g2IB;12.590812947219655;-0.11307861188223553;0.08915362248789618
u:g2sH;12.681276987700981;-0.12198876811840077;0.035398720584851065
u:g3PU;11.800208152368068;-0.1459775006031102;-0.33658191876158217
u:g3Vy;13.064824790215082;-0.08389894986804755;0.06357152383391446
u:g4c0;11.200595096235158;-0.13810875092754943;0.012548783329883267
u:g6Ga;8.518476387212663;-0.28181451681674213;-0.6064685551150603
u:g6LF;11.17557926518966;-0.15116909031481685;-0.47772754935908396
u:g6NW;11.156331080377445;-0.08473629610060644;-0.3282268184511448
u:g6rh;13.039759137376073;-0.04584402989131787;0.08768232556350077
u:g6tk;11.47420859645391;-0.0672314537435101;0.07280785138080804
u:g82s;10.117395147447269;-0.04318699116856351;0.1407009233953361
u:g85H;11.66671640923237;-0.08872178072503907;-0.2087915459051323
u:g8EO;11.741203615183043;-0.09545474872165656;0.12423149983690406
u:g8RW;12.252044655142633;-0.19957501313838116;-0.001233226000623616
u:g8TQ;12.251255652387409;-0.08074564023212712;-0.07129176539389542
u:g93o;12.94784777178185;-0.03728786240341291;0.07261264101733222
u:g9af;11.897502754239069;-0.11741236560025287;-0.04509173792009361
u:g9qU;12.782522946398224;-0.05995868164511485;-0.06997797374931963
u:gAEp;12.857350165960959;-0.11389330885518048;0.022109120460980514
u:gATT;11.995665839598402;-0.12264076000346416;0.08844077270245532
u:gB64;12.810162850833182;-0.09896952553384622;0.019959566246139194
u:gBDX;11.71817233778974;-0.09679803817355824;0.03752963185094899
u:gBkL;12.240483946438063;-0.04813104415849768;-0.4233440390692423
u:gCIc;11.57744954051637;-0.08592663181869667;-0.03814113231739547
u:gCjY;11.64224450061019;-0.12751889919187734;0.06810681072168333
u:gDWe;11.727951249173245;-0.15840932839012598;-0.04487115730704432
u:gESv;12.355195866747644;-0.015542301578431325;-0.025163296734171302
u:gEXV;11.420324935526255;-0.01787409003467104;-0.18463445475404194
u:gFvM;12.186766974535084;-0.13849026381473836;0.008024198320560262
u:gGH7;11.037329297251159;-0.15463232630689427;0.16470073731747453
u:gI7c;10.411174599251709;-0.05635816791734578;0.05774493612496366
u:gIEl;11.449084402641288;-0.13368215266931588;0.04737995575088693
u:gIek;13.42234761973089;-0.035188548684722015;0.060527250078499115
u:gJOv;12.444010426312829;-0.04778810447484843;0.031875139512227965
u:gKA3;11.876614431874083;-0.1796906376669277;0.033156316967113436
u:gL1x;11.74405986051172;-0.09075101081086373;-0.14573407282744225
u:gMd2;10.844227777327955;-0.03752296611488692;-0.23707090662915037
u:gOaZ;11.91339260838678;-0.13331889060617955;-0.03612670285949782
u:gQLE;12.37519678761579;-0.12613363141901998;0.0841151404810423
u:gQZl;12.600094997140541;-0.09507170641467144;-0.06829798873386876
u:gQpj;11.40235658928904;-0.06610926788219024;-0.18816092965403133
u:gS_d;12.35677740351481;-0.06641343825210366;-0.004944297796505284
u:gTNj;13.03517531318077;-0.08437162335696746;0.11432749074300899
u:gTmd;13.019342620662998;-0.10411968323317572;-0.012954566609804463
u:gUlp;12.290609996220969;-0.05159357125892869;-0.16327613371473107
u:gUxP;7.331500419261847;-0.08170798346978911;-0.4367474227655843
u:gW0C;8.677029084734171;-0.12743529919323837;-0.4295118493790145
u:gWUo;10.406489055977076;-0.04328301491934824;-0.2995384022895141
u:gWfj;12.248479627853424;-0.1152855958771487;-0.06162439272115382
u:gX6Z;13.766531489729749;-0.03411665811499383;0.0645754614621841
u:gXUf;11.076196975340507;-0.11614654819130836;-0.25425836670786256
u:gZEO;10.867093393101404;-0.10147209904639919;0.17464126250090115
u:gZJc;11.431115132734824;-0.0848089465032571;0.003646354995340989
u:g_eq;13.252178242370876;-0.03035184105474968;0.10281568655949239
u:g_iM;11.718628018171211;-0.07138745281382537;-0.1381841261722889
u:g_pD;12.609983369752605;-0.004878148062767203;0.015137759024783986
u:gdB1;11.834963474068548;-0.04445958055560805;-0.03974443643867001
u:ge1v;11.088216628142103;-0.1230791475663203;-0.043175714397186274
u:ghpr;12.506608574056992;-0.0513589593119089;-0.129779315681538
u:gieM;12.354409238977151;-0.08032422125764402;-0.03186750716618103
u:gjW5;12.74192130155989;-0.11267018094395884;-0.03250830683949759
u:gjya;12.54183949453848;-0.09069460818957936;-0.26796815358599635
u:gkO6;12.070297320282204;-0.07544022882296965;0.05305238472612367
u:gkUq;11.968434927188023;-0.14034442582537757;-0.07996689587538666
u:gn0x;13.001211707122495;-0.07367918169691932;-0.05411462618511166
u:gp3v;12.10947466213838;-0.15808143818371945;0.032021597425514116
u:gpsc;13.181559817416133;-0.0989289970525364;0.06583641758495672
u:grqf;12.184593194331462;-0.03536787411844205;-0.19396785868263627
u:gsXn;12.53368026712392;-0.046587105221542066;-0.022181157311928778
u:gv7g;11.406461392802782;-0.12340503403719534;-0.12753744174931952
